artist_id,artist_name,genres,popularity,followers
0imE3buPhAowREqCrr4CYe,Peach Tree Rascals,"['alternative r&b', 'pop']",60,200342
2P5sC9cVZDToPxyomzF1UH,Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']",72,2632150
4EzkuveR9pLvDVFNx6foYD,James Bay,"['neo mellow', 'pop', 'pop rock']",71,3676167
7b79bQFziJFedJb75k6hFt,Tion Wayne,['london rap'],73,594249
7gAppWoH7pcYmphCVTXkzs,The Vamps,"['boy band', 'dance pop', 'pop', 'post-teen pop']",69,5247061
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,['escape room'],77,2195791
7Lk9V7E1u5gqSHmtcKlOqH,Sara Kays,"['alt z', 'gen z singer-songwriter', 'indie pop', 'modern indie pop', 'pop']",61,322600
1AwO9pWEBSBoWdEZu28XDC,Eartha Kitt,"['adult standards', 'lounge', 'torch song', 'vocal jazz']",46,145999
3uwAm6vQy7kWPS2bciKWx9,girl in red,"['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie', 'pop']",75,5142560
4PVn1b2WnnXdq80C7uaZLZ,Nause,"['edm', 'pop dance', 'progressive electro house', 'swedish pop']",46,195036
2K5nCggbhSZ00YCYP5qkZS,Shiva,"['italian hip hop', 'trap italiana']",71,723689
54R6Y0I7jGUCveDTtI21nb,Boney M.,"['disco', 'europop']",70,1421894
76Xa625geVw0Q7BdyxNjA2,ZAAC,"['funk carioca', 'funk pop']",59,1612918
2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",70,826935
5NGO30tJxFlKixkPSgXcFE,The Police,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']",73,4985680
0oeiA5U9u1U45Gos5cywUU,Soso Maness,"['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']",66,432421
37mqXU98U5GmH5ZDtlHM1c,Matheus Fernandes,"['arrocha', 'forro', 'sertanejo pop']",69,431420
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,"['dance pop', 'danish electronic', 'deep house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",67,1251769
6lBN3Tzt61u8i9AJoAhKzF,Mykola Dmytrovych Leontovych,"['post-romantic era', 'ukrainian classical']",34,3202
